,OUTCOMETYPE,AGEOUTCOME,PREVHIST,DAYS_STAY,IS_PUREBREED,INTAKETYPE_ABANDONED,INTAKETYPE_EUTHANASIAREQUEST,INTAKETYPE_OWNERSURRENDER,INTAKETYPE_PUBLICASSIST,INTAKETYPE_STRAY,INTAKECONDITION_AGED,INTAKECONDITION_BEHAVIOR,INTAKECONDITION_FERAL,INTAKECONDITION_INJURED,INTAKECONDITION_MEDICAL,INTAKECONDITION_NORMAL,INTAKECONDITION_NURSING,INTAKECONDITION_OTHER,INTAKECONDITION_PREGNANT,INTAKECONDITION_SICK,SEXINTAKE_INTACTFEMALE,SEXINTAKE_INTACTMALE,SEXINTAKE_NEUTEREDMALE,SEXINTAKE_SPAYEDFEMALE,SEXINTAKE_UNKNOWN
A701010_1429671840,RTO,7.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701014_1429676340,RTO,11.0,0.0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701015_1429677540,ADOPT,2.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701017_1429683060,RTO,36.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
A701018_1429684560,ADOPT,24.0,0.0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701019_1429684680,RTO,36.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701020_1429685460,ADOPT,36.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701020_1435818300,ADOPT,36.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701021_1429685460,ADOPT,36.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701024_1429687080,RTO,72.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701029_1430290860,RTO,24.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701030_1429778820,RTO,72.0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701031_1429779060,ADOPT,12.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701037_1430011200,RTO,72.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701042_1429791840,ADOPT,7.0,0.0,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701043_1429792980,RTO,12.0,0.0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701043_1459339800,ADOPT,12.0,1.0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701044_1429792980,ADOPT,2.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701045_1429793340,RTO,24.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701075_1429761480,RTO,96.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701077_1429855440,RTO,12.0,0.0,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701091_1429768560,ADOPT,96.0,0.0,20,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701092_1429768560,ADOPT,96.0,0.0,20,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701093_1429770900,RTO,24.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701100_1429876500,RTO,48.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701108_1429875000,ADOPT,96.0,0.0,82,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701110_1429876680,DIED,36.0,0.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A701111_1429876560,DIED,12.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701112_1429877460,ADOPT,48.0,0.0,62,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701115_1429877460,ADOPT,2.0,0.0,59,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701116_1429877460,ADOPT,2.0,0.0,64,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
A701117_1429877460,ADOPT,2.0,0.0,65,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701118_1429877460,ADOPT,2.0,0.0,64,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701120_1429877460,ADOPT,2.0,0.0,66,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701121_1429877460,ADOPT,2.0,0.0,59,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701123_1431603720,ADOPT,24.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701124_1429857060,RTO,24.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701133_1429838640,RTO,24.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701136_1429840920,RTO,24.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701144_1429843440,ADOPT,24.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701146_1429843440,ADOPT,2.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701147_1429843440,ADOPT,2.0,0.0,60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701148_1429843440,ADOPT,2.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701149_1429843440,ADOPT,2.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701150_1429843440,ADOPT,2.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701151_1429843440,ADOPT,2.0,0.0,63,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A701153_1429843440,ADOPT,2.0,0.0,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701154_1429843440,ADOPT,2.0,0.0,65,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701155_1429843440,ADOPT,2.0,0.0,64,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A701171_1429854660,ADOPT,24.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701176_1429856700,RTO,144.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701178_1429864140,RTO,24.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701178_1553145300,ADOPT,60.0,1.0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701180_1429870320,RTO,36.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701182_1429955100,ADOPT,6.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701185_1429960200,ADOPT,108.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701187_1429959780,DIED,24.0,0.0,29,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701190_1429961160,ADOPT,36.0,0.0,15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701191_1429962300,RTO,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701199_1429964940,ADOPT,12.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701201_1429965600,ADOPT,12.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701205_1429925040,RTO,12.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701208_1429925760,RTO,96.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701210_1429927380,ADOPT,24.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701211_1429927860,ADOPT,2.0,0.0,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
A701212_1429932000,RTO,96.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701213_1429933200,ADOPT,2.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701217_1429934880,RTO,10.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701218_1429935300,ADOPT,12.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701228_1429937580,ADOPT,12.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701229_1429937940,ADOPT,10.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701230_1430020380,RTO,108.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701239_1430040540,ADOPT,24.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701239_1519645200,RTO,48.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701240_1430040540,ADOPT,2.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701241_1430040540,ADOPT,2.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701243_1430045640,RTO,120.0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701245_1430046060,RTO,24.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701248_1430049720,ADOPT,24.0,0.0,33,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701252_1430011380,ADOPT,48.0,0.0,235,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701258_1430014140,ADOPT,12.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701263_1430016840,ADOPT,5.0,0.0,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701264_1430017680,ADOPT,2.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701266_1430019660,ADOPT,11.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701268_1430308800,RTO,12.0,0.0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701270_1430021880,ADOPT,12.0,0.0,122,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701273_1430024220,RTO,120.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701284_1430132580,ADOPT,36.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701284_1432292520,ADOPT,36.0,1.0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701289_1430132640,ADOPT,36.0,0.0,31,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701290_1430133600,RTO,24.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701291_1430133900,RTO,60.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701293_1430134260,RTO,12.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701293_1456539600,RTO,24.0,1.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701301_1430199900,RTO,24.0,0.0,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701305_1430097420,DIED,12.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
A701306_1430098020,ADOPT,24.0,0.0,22,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701306_1457436720,RTO,36.0,1.0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701313_1430188680,RTO,96.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701316_1430100540,RTO,48.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701318_1430100540,RTO,24.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701325_1430107440,ADOPT,12.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701328_1460345400,RTO,24.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701329_1430111580,ADOPT,2.0,0.0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701331_1430114760,ADOPT,24.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701334_1430117760,ADOPT,2.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701335_1430118120,RTO,7.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701338_1430133120,DIED,156.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A701343_1430218920,ADOPT,2.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701344_1430220420,ADOPT,3.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701345_1430221140,DIED,36.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701346_1430221140,DIED,36.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701347_1430217960,ADOPT,12.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701348_1430217960,ADOPT,24.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701349_1430479440,RTO,60.0,0.0,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701350_1430221380,ADOPT,36.0,0.0,163,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701352_1430222100,RTO,12.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701356_1430224980,ADOPT,96.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701357_1430224980,ADOPT,60.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701357_1442840340,ADOPT,60.0,1.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701363_1430184240,ADOPT,12.0,0.0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701365_1430186700,ADOPT,144.0,0.0,1009,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701367_1430202960,RTO,12.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701387_1552632900,RTO,48.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701390_1430199000,ADOPT,4.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701399_1430203980,ADOPT,24.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701403_1430213880,ADOPT,12.0,0.0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701403_1431688560,ADOPT,12.0,1.0,13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701404_1430218380,DIED,168.0,0.0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
A701418_1445862060,ADOPT,24.0,0.0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701419_1430360820,RTO,60.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701422_1430306700,RTO,60.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701424_1430306460,ADOPT,12.0,0.0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701425_1430306460,ADOPT,3.0,0.0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701426_1430306460,ADOPT,3.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701427_1430306460,ADOPT,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701428_1430310660,RTO,36.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701430_1430312160,ADOPT,24.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701431_1430269740,ADOPT,132.0,0.0,454,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701439_1430275920,ADOPT,11.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701440_1430276340,ADOPT,24.0,0.0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701442_1430278320,ADOPT,12.0,0.0,43,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701442_1442661960,ADOPT,12.0,1.0,29,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701443_1430278680,ADOPT,24.0,0.0,24,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701446_1430280000,ADOPT,4.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701451_1430283300,RTO,1.0,0.0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701453_1430391420,RTO,12.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701453_1433908500,ADOPT,12.0,1.0,46,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701454_1430287200,RTO,48.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701454_1493787000,RTO,72.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701460_1430289480,RTO,24.0,0.0,34,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701461_1430290740,RTO,60.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701463_1430302500,ADOPT,6.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701470_1430479020,RTO,24.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701473_1430392260,RTO,84.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701474_1430392260,RTO,36.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701475_1430393220,RTO,108.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701481_1430393940,ADOPT,2.0,0.0,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701494_1430396640,RTO,24.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701494_1464175740,ADOPT,36.0,1.0,69,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701495_1430396880,ADOPT,60.0,0.0,232,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701495_1488709800,ADOPT,84.0,1.0,279,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701495_1543667280,ADOPT,120.0,2.0,544,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701514_1430362380,ADOPT,12.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701515_1560948480,RTO,84.0,0.0,183,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A701517_1430368860,RTO,6.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701517_1431064020,ADOPT,7.0,1.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701522_1430374080,ADOPT,12.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701531_1430478060,ADOPT,12.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701532_1430478420,ADOPT,180.0,0.0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A701533_1430478960,ADOPT,12.0,0.0,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701541_1430481960,ADOPT,24.0,0.0,22,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701546_1430483220,ADOPT,24.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701550_1430444100,RTO,12.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701553_1430445180,ADOPT,2.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701556_1430446920,ADOPT,60.0,0.0,71,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
A701556_1442666280,RTO,72.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701558_1464157020,RTO,36.0,1.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701571_1430454960,RTO,96.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701572_1430454900,DIED,132.0,0.0,365,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701574_1430455560,ADOPT,72.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701575_1472100420,RTO,24.0,1.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701576_1430459160,ADOPT,2.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701589_1430539800,RTO,24.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701596_1430556840,ADOPT,24.0,0.0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701597_1430556840,ADOPT,12.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701599_1430558460,RTO,36.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701606_1430563080,ADOPT,12.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701611_1430565420,ADOPT,84.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701616_1430565660,ADOPT,8.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701617_1430565840,RTO,24.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701627_1430571240,ADOPT,24.0,0.0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701640_1430620980,RTO,36.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701651_1430541120,ADOPT,2.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701653_1430541480,ADOPT,24.0,0.0,29,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701662_1430549220,RTO,24.0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701669_1430563860,RTO,84.0,0.0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A701684_1430653620,ADOPT,144.0,0.0,31,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701686_1430654520,RTO,24.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701686_1482906780,RTO,36.0,1.0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A701690_1430614860,ADOPT,5.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701691_1430616780,DIED,24.0,0.0,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A701694_1430615520,ADOPT,12.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701694_1432003560,ADOPT,12.0,1.0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A701694_1443268860,RTO,12.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
